<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.03.16	08:00:00	135.666	136.987	135.162	136.823	17940	0	50
2010.03.16	12:00:00	136.824	137.389	136.589	137.240	17801	0	50
2010.03.16	16:00:00	137.237	137.813	137.142	137.477	16827	0	50
2010.03.16	20:00:00	137.469	137.752	137.414	137.562	9225	0	80
2010.03.17	00:00:00	137.561	137.738	137.453	137.592	8733	0	80
2010.03.17	04:00:00	137.591	138.103	137.086	138.045	11210	0	57
2010.03.17	08:00:00	138.048	139.332	137.499	138.900	17755	0	57
2010.03.17	12:00:00	138.901	139.011	138.456	138.625	15998	0	57
2010.03.17	16:00:00	138.624	138.677	138.075	138.208	14074	0	50
2010.03.17	20:00:00	138.207	138.440	138.084	138.428	7273	0	80
2010.03.18	00:00:00	138.426	138.543	137.887	138.022	10877	0	80
2010.03.18	04:00:00	138.023	138.195	137.543	137.932	12070	0	57
2010.03.18	08:00:00	137.939	138.302	137.010	137.854	17754	0	50
2010.03.18	12:00:00	137.848	138.387	137.639	138.167	16929	0	56
2010.03.18	16:00:00	138.165	138.259	137.502	137.690	15491	0	56
2010.03.18	20:00:00	137.689	137.965	137.527	137.952	7331	0	80
2010.03.19	00:00:00	137.947	138.060	137.707	137.861	10046	0	80
2010.03.19	04:00:00	137.862	137.962	137.338	137.395	7976	0	50
2010.03.19	08:00:00	137.396	137.802	136.808	136.915	15856	0	56
2010.03.19	12:00:00	136.913	137.452	136.145	136.258	17437	0	56
2010.03.19	16:00:00	136.255	136.265	135.612	135.880	13361	0	56
2010.03.19	20:00:00	135.881	136.001	135.675	135.898	3978	0	80
2010.03.22	00:00:00	135.647	135.826	135.503	135.675	5546	0	80
2010.03.22	04:00:00	135.677	135.677	135.109	135.630	7728	0	50
2010.03.22	08:00:00	135.631	135.881	135.269	135.864	16676	0	50
2010.03.22	12:00:00	135.866	135.934	134.533	135.799	21130	0	50
2010.03.22	16:00:00	135.795	136.002	135.404	135.995	14922	0	50
2010.03.22	20:00:00	135.996	136.183	135.932	136.083	7006	0	80
2010.03.23	00:00:00	136.074	136.495	136.057	136.197	11237	0	80
2010.03.23	04:00:00	136.194	136.358	135.941	135.959	8897	0	56
2010.03.23	08:00:00	135.953	136.103	135.275	135.394	19762	0	56
2010.03.23	12:00:00	135.391	136.245	135.231	135.922	18489	0	56
2010.03.23	16:00:00	135.925	136.146	135.683	135.862	15758	0	56
2010.03.23	20:00:00	135.859	136.059	135.841	135.875	7505	0	80
2010.03.24	00:00:00	135.877	135.955	135.606	135.792	10201	0	80
2010.03.24	04:00:00	135.791	135.838	135.488	135.618	10458	0	56
2010.03.24	08:00:00	135.607	136.797	135.482	136.408	19397	0	56
2010.03.24	12:00:00	136.412	137.214	136.356	136.902	18986	0	50
2010.03.24	16:00:00	136.899	137.394	136.474	137.086	15599	0	51
2010.03.24	20:00:00	137.076	137.399	136.973	137.108	9231	0	80
2010.03.25	00:00:00	137.104	137.233	136.624	136.813	10582	0	80
2010.03.25	04:00:00	136.814	137.138	136.713	136.889	10115	0	56
2010.03.25	08:00:00	136.882	137.853	136.774	137.701	17299	0	56
2010.03.25	12:00:00	137.699	138.101	137.323	137.519	16799	0	56
2010.03.25	16:00:00	137.520	138.029	137.379	137.463	16206	0	56
2010.03.25	20:00:00	137.455	137.669	137.208	137.293	8745	0	80
2010.03.26	00:00:00	137.293	137.571	137.145	137.543	12178	0	80
2010.03.26	04:00:00	137.542	137.932	137.458	137.466	9476	0	56
2010.03.26	08:00:00	137.465	137.573	137.037	137.390	19975	0	56
2010.03.26	12:00:00	137.391	138.011	137.374	137.773	21576	0	56
2010.03.26	16:00:00	137.775	138.012	137.321	137.747	14173	0	56
2010.03.26	20:00:00	137.746	137.893	137.639	137.771	4564	0	80
2010.03.29	00:00:00	138.231	138.296	137.655	138.043	9718	0	80
2010.03.29	04:00:00	138.039	138.367	137.979	138.331	9862	0	52
2010.03.29	08:00:00	138.332	139.103	138.320	138.588	18940	0	56
2010.03.29	12:00:00	138.587	138.830	138.330	138.707	17444	0	56
2010.03.29	16:00:00	138.712	138.863	138.436	138.569	13499	0	56
2010.03.29	20:00:00	138.568	138.616	138.447	138.589	6463	0	80
2010.03.30	00:00:00	138.586	138.594	137.998	138.342	8975	0	80
2010.03.30	04:00:00	138.341	138.984	138.022	138.957	9338	0	56
2010.03.30	08:00:00	138.960	139.583	138.910	139.439	19508	0	56
2010.03.30	12:00:00	139.438	140.405	139.355	140.203	17434	0	56
2010.03.30	16:00:00	140.211	140.526	139.725	139.808	15882	0	50
2010.03.30	20:00:00	139.804	139.931	139.709	139.803	7454	0	80
2010.03.31	00:00:00	139.800	140.603	139.742	140.444	12369	0	80
2010.03.31	04:00:00	140.442	140.937	140.364	140.586	11729	0	57
2010.03.31	08:00:00	140.587	141.685	140.243	141.438	18472	0	56
2010.03.31	12:00:00	141.437	141.646	140.544	140.602	20553	0	56
2010.03.31	16:00:00	140.606	141.992	140.601	141.782	20141	0	56
2010.03.31	20:00:00	141.783	141.955	141.720	141.805	9028	0	80
2010.04.01	00:00:00	141.790	142.334	141.778	141.860	12064	0	80
2010.04.01	04:00:00	141.859	142.387	141.727	142.255	9820	0	57
2010.04.01	08:00:00	142.262	142.714	141.952	142.276	17852	0	50
