<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.02.16	20:00:00	1119.25	1120.69	1117.36	1118.94	6979	0	0
2010.02.17	00:00:00	1117.85	1118.28	1115.49	1116.30	6622	0	0
2010.02.17	04:00:00	1116.20	1120.59	1116.02	1118.32	9804	0	0
2010.02.17	08:00:00	1118.27	1123.93	1116.02	1117.79	14377	0	0
2010.02.17	12:00:00	1117.83	1126.83	1115.73	1119.33	17207	0	0
2010.02.17	16:00:00	1119.30	1121.54	1112.21	1116.10	18778	0	0
2010.02.17	20:00:00	1116.11	1117.19	1105.02	1106.55	9625	0	0
2010.02.18	00:00:00	1106.94	1106.94	1098.85	1103.70	10433	0	0
2010.02.18	04:00:00	1103.69	1105.48	1100.75	1103.56	11673	0	0
2010.02.18	08:00:00	1103.56	1108.41	1097.78	1106.28	15425	0	0
2010.02.18	12:00:00	1106.27	1119.74	1104.59	1118.50	17265	0	0
2010.02.18	16:00:00	1118.48	1123.40	1114.38	1120.32	19020	0	0
2010.02.18	20:00:00	1120.27	1123.82	1107.83	1108.55	8131	0	0
2010.02.19	00:00:00	1100.23	1107.93	1099.34	1104.63	11640	0	0
2010.02.19	04:00:00	1104.60	1106.04	1101.30	1102.33	9988	0	0
2010.02.19	08:00:00	1102.32	1112.59	1101.03	1108.95	14420	0	0
2010.02.19	12:00:00	1108.93	1116.82	1107.45	1112.79	16734	0	0
2010.02.19	16:00:00	1112.74	1126.55	1110.70	1120.78	18072	0	0
2010.02.19	20:00:00	1120.82	1123.18	1116.00	1118.99	6844	0	0
2010.02.22	00:00:00	1124.85	1130.75	1124.60	1126.55	5352	0	0
2010.02.22	04:00:00	1126.53	1126.97	1123.35	1123.70	5718	0	0
2010.02.22	08:00:00	1123.71	1127.90	1117.25	1122.15	9671	0	0
2010.02.22	12:00:00	1122.17	1125.06	1115.67	1117.03	10704	0	0
2010.02.22	16:00:00	1117.07	1117.07	1109.97	1112.65	11498	0	0
2010.02.22	20:00:00	1112.67	1116.65	1112.58	1113.92	3957	0	0
2010.02.23	00:00:00	1114.87	1115.74	1110.08	1113.45	5096	0	0
2010.02.23	04:00:00	1113.47	1116.90	1112.45	1115.12	5665	0	0
2010.02.23	08:00:00	1115.13	1120.93	1110.63	1112.03	8522	0	0
2010.02.23	12:00:00	1111.98	1113.71	1106.13	1110.33	12038	0	0
2010.02.23	16:00:00	1110.29	1110.29	1099.08	1103.58	14750	0	0
2010.02.23	20:00:00	1103.60	1105.04	1100.50	1103.00	4338	0	0
2010.02.24	00:00:00	1105.88	1107.94	1103.35	1106.58	4361	0	0
2010.02.24	04:00:00	1106.60	1106.98	1104.31	1105.70	4590	0	0
2010.02.24	08:00:00	1105.53	1105.78	1089.90	1092.22	8570	0	0
2010.02.24	12:00:00	1092.68	1101.94	1089.65	1098.42	10005	0	0
2010.02.24	16:00:00	1098.65	1103.79	1093.58	1097.73	13616	0	0
