<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.29	08:00:00	63.587	63.971	63.514	63.858	11398	0	80
2010.01.29	12:00:00	63.857	64.264	63.653	63.893	16791	0	80
2010.01.29	16:00:00	63.893	63.907	63.372	63.431	12856	0	80
2010.01.29	20:00:00	63.430	63.468	63.218	63.233	2436	0	80
2010.02.01	00:00:00	63.440	63.605	63.051	63.119	7489	0	80
2010.02.01	04:00:00	63.118	63.492	63.093	63.322	8781	0	80
2010.02.01	08:00:00	63.323	63.506	63.120	63.198	11363	0	80
2010.02.01	12:00:00	63.197	64.231	63.147	63.982	14558	0	80
2010.02.01	16:00:00	63.980	64.365	63.942	64.211	9292	0	80
2010.02.01	20:00:00	64.212	64.406	64.138	64.298	4464	0	80
2010.02.02	00:00:00	64.296	64.402	63.920	63.983	6784	0	80
2010.02.02	04:00:00	63.981	64.216	63.822	64.035	9555	0	80
2010.02.02	08:00:00	64.037	64.243	63.814	64.130	12872	0	80
2010.02.02	12:00:00	64.130	64.300	63.899	64.162	14573	0	80
2010.02.02	16:00:00	64.158	64.391	64.055	64.258	8692	0	80
2010.02.02	20:00:00	64.259	64.494	64.208	64.486	4579	0	80
2010.02.03	00:00:00	64.487	64.524	64.007	64.260	6221	0	80
2010.02.03	04:00:00	64.262	64.441	64.152	64.389	5950	0	80
2010.02.03	08:00:00	64.390	64.662	64.173	64.604	10990	0	80
2010.02.03	12:00:00	64.608	64.648	64.275	64.391	13599	0	80
2010.02.03	16:00:00	64.393	64.612	64.358	64.381	9062	0	80
2010.02.03	20:00:00	64.380	64.441	63.344	63.438	5971	0	80
2010.02.04	00:00:00	63.436	63.561	63.324	63.448	6319	0	80
2010.02.04	04:00:00	63.445	63.476	63.169	63.209	6971	0	80
2010.02.04	08:00:00	63.207	63.331	62.945	63.139	11598	0	80
2010.02.04	12:00:00	63.151	63.286	62.360	62.394	13638	0	80
2010.02.04	16:00:00	62.393	62.475	60.605	61.350	13557	0	80
2010.02.04	20:00:00	61.349	61.537	61.002	61.506	6806	0	80
2010.02.05	00:00:00	61.507	61.881	61.388	61.842	8949	0	80
2010.02.05	04:00:00	61.843	61.854	61.356	61.442	9541	0	80
2010.02.05	08:00:00	61.440	61.777	61.211	61.771	14918	0	80
2010.02.05	12:00:00	61.775	62.105	61.142	61.471	18294	0	80
2010.02.05	16:00:00	61.470	61.548	60.459	61.038	13887	0	80
2010.02.05	20:00:00	61.037	61.563	61.027	61.492	4798	0	80
2010.02.08	00:00:00	61.263	61.538	61.200	61.335	7076	0	80
2010.02.08	04:00:00	61.333	61.695	61.210	61.518	8281	0	80
2010.02.08	08:00:00	61.520	61.935	61.260	61.379	10823	0	80
2010.02.08	12:00:00	61.378	61.547	61.115	61.445	13561	0	80
2010.02.08	16:00:00	61.449	61.609	61.147	61.157	8960	0	80
2010.02.08	20:00:00	61.160	61.204	60.754	60.860	5944	0	80
2010.02.09	00:00:00	60.865	61.264	60.859	61.236	6812	0	80
2010.02.09	04:00:00	61.235	61.820	61.115	61.702	9114	0	80
2010.02.09	08:00:00	61.705	62.015	61.595	61.880	10647	0	80
2010.02.09	12:00:00	61.878	62.257	61.601	61.665	14252	0	80
2010.02.09	16:00:00	61.664	62.506	61.489	62.029	14458	0	80
2010.02.09	20:00:00	62.028	62.602	62.011	62.365	6545	0	80
2010.02.10	00:00:00	62.366	62.656	62.069	62.204	7593	0	80
2010.02.10	04:00:00	62.205	62.320	61.955	62.174	8310	0	80
2010.02.10	08:00:00	62.177	62.370	62.031	62.340	10949	0	80
2010.02.10	12:00:00	62.345	62.378	61.827	62.030	14944	0	80
2010.02.10	16:00:00	62.035	62.596	61.985	62.370	10702	0	80
2010.02.10	20:00:00	62.368	62.456	62.235	62.403	4012	0	80
2010.02.11	00:00:00	62.404	62.886	62.393	62.741	6299	0	80
2010.02.11	04:00:00	62.742	62.941	62.696	62.922	6493	0	80
2010.02.11	08:00:00	62.923	63.051	62.497	62.626	10130	0	80
2010.02.11	12:00:00	62.624	62.785	62.421	62.536	14970	0	80
2010.02.11	16:00:00	62.535	62.960	62.455	62.900	9850	0	80
2010.02.11	20:00:00	62.899	63.007	62.523	62.622	5392	0	80
2010.02.12	00:00:00	62.623	62.641	62.405	62.503	5405	0	80
2010.02.12	04:00:00	62.504	62.927	62.421	62.806	7037	0	80
2010.02.12	08:00:00	62.805	63.064	61.925	62.389	14589	0	80
2010.02.12	12:00:00	62.389	62.781	62.094	62.393	15639	0	80
2010.02.12	16:00:00	62.394	62.701	62.305	62.637	8500	0	80
2010.02.12	20:00:00	62.633	62.770	62.536	62.705	2164	0	80
2010.02.15	00:00:00	62.699	62.872	62.607	62.857	4296	0	80
2010.02.15	04:00:00	62.856	62.909	62.657	62.775	5383	0	80
2010.02.15	08:00:00	62.774	62.887	62.695	62.834	6729	0	80
2010.02.15	12:00:00	62.835	62.845	62.638	62.641	7238	0	80
2010.02.15	16:00:00	62.642	62.843	62.639	62.760	4439	0	80
2010.02.15	20:00:00	62.761	62.804	62.634	62.728	4384	0	80
2010.02.16	00:00:00	62.726	62.945	62.651	62.847	6415	0	80
2010.02.16	04:00:00	62.854	63.280	62.820	63.179	9177	0	80
2010.02.16	08:00:00	63.183	63.345	63.112	63.176	10695	0	80
2010.02.16	12:00:00	63.174	63.612	63.054	63.435	14489	0	80
2010.02.16	16:00:00	63.436	63.900	63.419	63.618	10715	0	80
