date,prob_down,prob_up,pred_class
2012-01-06,0.7291932,0.2708068,0
2012-01-09,0.9312809,0.06871911,0
2012-01-10,0.9313781,0.068621926,0
2012-01-11,0.8690079,0.13099205,0
2012-01-12,0.70509064,0.29490933,0
2012-01-13,0.18712312,0.8128769,1
2012-01-16,0.0851829,0.91481704,1
2012-01-17,0.06687401,0.9331259,1
2012-01-18,0.08521705,0.91478294,1
2012-01-19,0.29693687,0.70306313,1
2012-01-20,0.3107589,0.6892411,1
2012-01-23,0.80515695,0.19484304,0
2012-01-24,0.8836952,0.1163048,0
2012-01-25,0.899687,0.10031295,0
2012-01-26,0.83933014,0.16066982,0
2012-01-27,0.6886624,0.31133756,0
2012-01-30,0.7038974,0.29610258,0
2012-01-31,0.15101604,0.848984,1
2012-02-01,0.08602667,0.91397333,1
2012-02-02,0.07931392,0.920686,1
2012-02-03,0.09210662,0.90789336,1
2012-02-06,0.30726933,0.69273067,1
2012-02-07,0.26435125,0.73564875,1
2012-02-08,0.26160195,0.7383981,1
2012-02-09,0.27998438,0.7200156,1
2012-02-10,0.20101604,0.798984,1
2012-02-13,0.15797691,0.8420231,1
2012-02-14,0.13586348,0.8641365,1
2012-02-15,0.13185616,0.8681438,1
2012-02-16,0.15047434,0.84952563,1
2012-02-17,0.16671276,0.8332872,1
2012-02-20,0.14291023,0.8570897,1
2012-02-21,0.11625455,0.88374543,1
2012-02-22,0.102659374,0.89734066,1
2012-02-23,0.093022674,0.90697736,1
2012-02-24,0.09302546,0.9069746,1
2012-02-27,0.08112088,0.9188791,1
2012-02-28,0.07641314,0.92358685,1
2012-02-29,0.10191696,0.898083,1
2012-03-02,0.6211182,0.3788818,0
2012-03-05,0.20696625,0.7930338,1
2012-03-06,0.14721236,0.8527877,1
2012-03-07,0.0923261,0.9076739,1
2012-03-08,0.0609724,0.9390276,1
2012-03-09,0.11300643,0.8869936,1
2012-03-12,0.11550701,0.88449305,1
2012-03-13,0.12743579,0.8725642,1
2012-03-14,0.1343308,0.8656692,1
2012-03-15,0.68297344,0.3170266,0
2012-03-16,0.8207463,0.17925371,0
2012-03-19,0.89297587,0.107024126,0
2012-03-20,0.9103468,0.08965326,0
2012-03-21,0.86988807,0.13011198,0
2012-03-22,0.86943823,0.13056172,0
2012-03-23,0.85040236,0.14959763,0
2012-03-26,0.2211001,0.7788999,1
2012-03-27,0.7488935,0.2511064,0
2012-03-28,0.8167434,0.18325663,0
2012-03-29,0.86757886,0.1324211,0
2012-03-30,0.9189621,0.08103783,0
2012-04-02,0.8503386,0.1496614,0
2012-04-03,0.84573025,0.1542698,0
2012-04-04,0.8521906,0.14780945,0
2012-04-05,0.84890145,0.15109855,0
2012-04-09,0.84061944,0.15938051,0
2012-04-10,0.8352568,0.16474314,0
2012-04-11,0.19952522,0.80047476,1
2012-04-12,0.10164188,0.89835817,1
2012-04-13,0.08144583,0.9185542,1
2012-04-16,0.10916226,0.8908377,1
2012-04-17,0.31046432,0.6895357,1
2012-04-18,0.29229996,0.7077001,1
2012-04-19,0.32186076,0.6781392,1
2012-04-20,0.8569567,0.14304325,0
2012-04-23,0.9255528,0.07444725,0
2012-04-24,0.934161,0.06583895,0
2012-04-25,0.9011354,0.09886465,0
2012-04-26,0.7933822,0.20661782,0
2012-04-27,0.788354,0.21164605,0
2012-04-30,0.77601606,0.22398394,0
2012-05-01,0.16700217,0.8329978,1
2012-05-02,0.67894584,0.3210542,0
2012-05-03,0.78088814,0.21911187,0
2012-05-04,0.84564114,0.15435888,0
2012-05-07,0.3469743,0.65302575,1
2012-05-08,0.6221586,0.37784135,0
2012-05-09,0.14231955,0.85768044,1
2012-05-10,0.11324361,0.88675636,1
2012-05-11,0.8076727,0.1923273,0
2012-05-14,0.82608116,0.17391889,0
2012-05-15,0.93923676,0.06076321,0
2012-05-16,0.88539755,0.11460248,0
2012-05-17,0.73248506,0.26751494,0
2012-05-18,0.16548304,0.83451694,1
2012-05-21,0.087233625,0.9127664,1
2012-05-22,0.08346148,0.91653854,1
2012-05-23,0.6899905,0.3100095,0
2012-05-24,0.91326594,0.08673408,0
2012-05-25,0.92548174,0.074518286,0
2012-05-28,0.8760416,0.12395846,0
2012-05-29,0.71830124,0.28169876,0
2012-05-30,0.7302619,0.26973802,0
2012-05-31,0.15668842,0.84331155,1
2012-06-01,0.076632775,0.9233672,1
2012-06-04,0.0680264,0.93197364,1
2012-06-05,0.11692222,0.88307774,1
2012-06-06,0.34402514,0.65597486,1
2012-06-07,0.3205417,0.67945826,1
2012-06-08,0.81499857,0.18500145,0
2012-06-11,0.8850623,0.11493771,0
2012-06-12,0.89673334,0.10326661,0
2012-06-13,0.8508242,0.14917588,0
2012-06-14,0.16889067,0.8311094,1
2012-06-15,0.090396166,0.9096039,1
2012-06-18,0.062734306,0.93726575,1
2012-06-19,0.07113269,0.9288673,1
2012-06-20,0.18838318,0.8116168,1
2012-06-21,0.20459454,0.7954055,1
2012-06-22,0.7508187,0.24918127,0
2012-06-25,0.84592855,0.15407151,0
2012-06-26,0.8734143,0.12658575,0
2012-06-27,0.2845886,0.7154114,1
2012-06-28,0.10057601,0.89942396,1
2012-06-29,0.07924265,0.92075735,1
2012-07-02,0.6559181,0.3440819,0
2012-07-03,0.45485798,0.54514205,1
2012-07-04,0.84950215,0.15049787,0
2012-07-05,0.8868339,0.11316609,0
2012-07-06,0.83454746,0.1654526,0
2012-07-09,0.89527935,0.10472063,0
2012-07-10,0.77427244,0.22572756,0
2012-07-11,0.7898732,0.21012677,0
2012-07-12,0.8160877,0.18391232,0
2012-07-13,0.81971025,0.18028982,0
2012-07-16,0.8181777,0.1818223,0
2012-07-17,0.8082886,0.1917114,0
2012-07-18,0.79562354,0.20437649,0
2012-07-19,0.7900599,0.20994008,0
2012-07-20,0.787248,0.21275198,0
2012-07-23,0.7746018,0.22539817,0
2012-07-24,0.76197714,0.23802282,0
2012-07-25,0.7423768,0.25762314,0
2012-07-26,0.1591016,0.8408984,1
2012-07-27,0.074222185,0.9257778,1
2012-07-30,0.06652007,0.9334799,1
2012-07-31,0.09251863,0.9074814,1
2012-08-01,0.2991302,0.7008698,1
2012-08-02,0.30419353,0.69580644,1
2012-08-03,0.27855977,0.7214402,1
2012-08-06,0.8207496,0.17925043,0
2012-08-07,0.48726463,0.5127354,1
2012-08-08,0.2738501,0.72614986,1
2012-08-09,0.13918881,0.8608111,1
2012-08-10,0.06730012,0.9326999,1
2012-08-13,0.1578214,0.8421786,1
2012-08-14,0.16716342,0.83283657,1
2012-08-15,0.22844784,0.77155215,1
2012-08-16,0.76387405,0.23612598,0
2012-08-17,0.8663502,0.13364986,0
2012-08-20,0.88295925,0.11704079,0
2012-08-21,0.8348192,0.16518077,0
2012-08-22,0.7093964,0.29060358,0
2012-08-23,0.16472787,0.83527213,1
2012-08-24,0.08863939,0.9113606,1
2012-08-27,0.63771427,0.36228567,0
2012-08-28,0.82327175,0.17672823,0
2012-08-29,0.9275185,0.072481476,0
2012-08-30,0.90011775,0.099882275,0
2012-08-31,0.19353792,0.80646205,1
2012-09-03,0.6464466,0.3535534,0
2012-09-04,0.7517264,0.24827357,0
2012-09-05,0.8192356,0.18076442,0
2012-09-06,0.8793567,0.12064333,0
2012-09-07,0.7225055,0.2774945,0
2012-09-10,0.13840462,0.8615954,1
2012-09-11,0.06285756,0.9371424,1
2012-09-12,0.055374112,0.9446259,1
2012-09-13,0.097879104,0.90212095,1
2012-09-14,0.35557395,0.6444261,1
2012-09-17,0.8508553,0.14914472,0
2012-09-18,0.9118833,0.08811672,0
2012-09-19,0.8947443,0.10525567,0
2012-09-20,0.82012737,0.17987266,0
2012-09-21,0.6610028,0.33899722,0
2012-09-24,0.6986219,0.3013781,0
2012-09-25,0.16033643,0.8396635,1
2012-09-26,0.07267893,0.92732114,1
2012-09-27,0.06148032,0.93851966,1
2012-09-28,0.07627097,0.92372906,1
2012-10-01,0.25872388,0.7412761,1
2012-10-02,0.2765712,0.7234288,1
2012-10-03,0.25913107,0.7408689,1
2012-10-04,0.79365283,0.2063472,0
2012-10-05,0.88318515,0.1168149,0
2012-10-08,0.8997998,0.1002002,0
2012-10-09,0.29875743,0.70124257,1
2012-10-10,0.08381001,0.91618997,1
2012-10-11,0.07536623,0.9246338,1
2012-10-12,0.0687125,0.93128747,1
2012-10-15,0.15395764,0.84604234,1
2012-10-16,0.17973429,0.8202657,1
2012-10-17,0.18547046,0.8145296,1
2012-10-18,0.18163703,0.81836295,1
2012-10-19,0.118836254,0.8811637,1
2012-10-22,0.113636635,0.8863633,1
2012-10-23,0.59999794,0.4000021,0
2012-10-24,0.76461864,0.23538138,0
2012-10-25,0.27344453,0.7265555,1
2012-10-26,0.70907205,0.29092798,0
2012-10-29,0.12366041,0.87633955,1
2012-10-30,0.09992466,0.9000754,1
2012-10-31,0.09789017,0.9021098,1
2012-11-01,0.076408006,0.923592,1
2012-11-02,0.6860518,0.31394824,0
2012-11-05,0.8100074,0.1899926,0
2012-11-06,0.8693386,0.13066144,0
2012-11-07,0.84589416,0.15410586,0
2012-11-08,0.16290663,0.83709335,1
2012-11-09,0.07550089,0.9244991,1
2012-11-12,0.070401676,0.92959833,1
2012-11-13,0.08217808,0.91782194,1
2012-11-14,0.19691281,0.8030872,1
2012-11-15,0.2449152,0.75508475,1
2012-11-16,0.20644876,0.79355127,1
2012-11-19,0.17181817,0.8281818,1
2012-11-20,0.15107203,0.848928,1
2012-11-21,0.13525519,0.86474484,1
2012-11-22,0.6054521,0.39454794,0
2012-11-23,0.7437606,0.2562394,0
2012-11-26,0.23625499,0.76374495,1
2012-11-27,0.108735785,0.8912642,1
2012-11-28,0.5550358,0.44496414,0
2012-11-29,0.16018146,0.83981854,1
2012-11-30,0.14100495,0.858995,1
2012-12-03,0.100490786,0.8995092,1
2012-12-04,0.055963647,0.94403636,1
2012-12-05,0.08555487,0.91444516,1
2012-12-06,0.10236446,0.8976356,1
2012-12-07,0.087300085,0.9126999,1
2012-12-10,0.090845875,0.9091541,1
2012-12-11,0.08705653,0.9129434,1
2012-12-12,0.086883016,0.91311705,1
2012-12-13,0.120744005,0.879256,1
2012-12-14,0.1009629,0.8990371,1
2012-12-17,0.08579061,0.91420937,1
2012-12-18,0.082773626,0.9172263,1
2012-12-19,0.08873132,0.91126865,1
2012-12-20,0.092226036,0.90777403,1
2012-12-21,0.08492373,0.9150763,1
2012-12-24,0.08856229,0.9114377,1
2012-12-26,0.08614101,0.913859,1
2012-12-27,0.07098955,0.9290105,1
2012-12-28,0.08862553,0.9113745,1
2012-12-31,0.06967506,0.930325,1
2013-01-02,0.07371763,0.9262824,1
2013-01-03,0.07056926,0.9294308,1
2013-01-04,0.0686904,0.9313096,1
2013-01-07,0.072829336,0.92717063,1
2013-01-08,0.0769707,0.92302924,1
2013-01-09,0.08024876,0.9197513,1
2013-01-10,0.09399742,0.9060026,1
2013-01-11,0.0847299,0.9152701,1
2013-01-14,0.066761024,0.933239,1
